Epoch 1: G_Loss=66.95812, D_Loss=0.88731
Epoch 2: G_Loss=54.22881, D_Loss=0.60276
Epoch 3: G_Loss=52.61517, D_Loss=0.56990
Epoch 4: G_Loss=53.74580, D_Loss=0.55472
Epoch 5: G_Loss=54.36937, D_Loss=0.54632
Epoch 6: G_Loss=53.64797, D_Loss=0.54324
Epoch 7: G_Loss=58.59899, D_Loss=0.54122
Epoch 8: G_Loss=63.80019, D_Loss=0.53975
Epoch 9: G_Loss=67.62694, D_Loss=0.53688
Epoch 10: G_Loss=69.45494, D_Loss=0.53635
Epoch 11: G_Loss=70.38699, D_Loss=0.53531
Epoch 12: G_Loss=72.34881, D_Loss=0.53523
Epoch 13: G_Loss=75.49814, D_Loss=0.53449
Epoch 14: G_Loss=73.62666, D_Loss=0.53326
Epoch 15: G_Loss=76.90223, D_Loss=0.53241
Epoch 16: G_Loss=76.48623, D_Loss=0.53150
Epoch 17: G_Loss=75.57058, D_Loss=0.53092
Epoch 18: G_Loss=75.86844, D_Loss=0.53106
Epoch 19: G_Loss=75.83241, D_Loss=0.53051
Epoch 20: G_Loss=82.81875, D_Loss=0.53042
