Epoch 1: G_Loss=69.39704, D_Loss=0.82105
Epoch 1: G_Loss=70.72509, D_Loss=0.89356
Epoch 2: G_Loss=54.30011, D_Loss=0.60907
Epoch 3: G_Loss=51.10191, D_Loss=0.62379
Epoch 4: G_Loss=61.79705, D_Loss=8663.87131
Epoch 5: G_Loss=54.39207, D_Loss=88.58993
Epoch 6: G_Loss=49.48793, D_Loss=6.52436
Epoch 7: G_Loss=47.92178, D_Loss=4.12424
Epoch 8: G_Loss=46.98256, D_Loss=3.28699
Epoch 9: G_Loss=46.10809, D_Loss=2.95494
Epoch 10: G_Loss=45.16910, D_Loss=2.31028
Epoch 11: G_Loss=44.27233, D_Loss=3.42416
Epoch 12: G_Loss=43.82556, D_Loss=4.27735
Epoch 13: G_Loss=43.34354, D_Loss=3.93764
Epoch 14: G_Loss=42.52888, D_Loss=1.28786
Epoch 15: G_Loss=41.82988, D_Loss=1.14546
Epoch 16: G_Loss=41.00069, D_Loss=1.28508
Epoch 17: G_Loss=40.28282, D_Loss=2.55504
Epoch 18: G_Loss=39.66671, D_Loss=1.21777
Epoch 19: G_Loss=39.04421, D_Loss=1.04620
Epoch 20: G_Loss=38.40077, D_Loss=1.65928

